restaurant,city,state,awards_count,current_lat,current_lng,correct_lat,correct_lng,Address
Montrachet,New York,New York,23,40.7127281,-74.0060152,40.71958,-74.005812,"239 W Broadway, New York, NY 10013"
Valentino,Santa Monica,California,20,34.0194704,-118.491227,34.026309,-118.457088,"3115 Pico Blvd, Santa Monica, CA 90405"
Terra,St. Helena,California,19,38.5052288,-122.470042,38.505241,-122.469071,"1345 Railroad Ave, St. Helena, CA 94574"
Chanterelle,New York,New York,19,40.7127281,-74.0060152,40.718772,-74.009181,"2 Harrison St, New York, NY 10013"
Blackbird,Chicago,Illinois,16,41.8755616,-87.6244212,41.884222,-87.643548,"619 W Randolph St, Chicago, IL 60661"
La Grenouille,New York,New York,16,40.7127281,-74.0060152,40.759665,-73.975585,"3 E 52nd St, New York, NY 10022"
Jean-Louis at the Watergate,Washington,District of Columbia,15,38.8950982,-77.0363849,38.899511,-77.055715,"2650 Virginia Ave NW (Watergate Hotel), Washington, DC 20037"
Brigtsen's,New Orleans,Louisiana,15,29.9561422,-90.0733934,29.945681,-90.1347,"723 Dante St, New Orleans, LA 70118"
L'Espalier,Boston,Massachusetts,15,42.3588336,-71.0578303,42.348714,-71.081631,"774 Boylston St, Boston, MA 02199"
Andrew Michael Italian Kitchen,Memphis,Tennessee,15,35.1460249,-90.0517638,35.113042,-89.890232,"712 W Brookhaven Cir, Memphis, TN 38117"
Komi,Washington,District of Columbia,14,38.8950982,-77.0363849,38.910099,-77.03824,"1509 17th St NW, Washington, DC 20036"
Vidalia,Washington,District of Columbia,14,38.8950982,-77.0363849,38.905422,-77.044551,"1990 M St NW, Washington, DC 20036"
Herbsaint,New Orleans,Louisiana,14,29.9561422,-90.0733934,29.947292,-90.071486,"701 St Charles Ave, New Orleans, LA 70130"
Arrows,Ogunquit,Maine,14,43.2489755,-70.5992201,43.249644,-70.601838,"41 Berwick Rd, Ogunquit, ME 03907"
Rubicon,San Francisco,California,13,37.7879363,-122.4075201,37.793989,-122.402334,"558 Sacramento St, San Francisco, CA 94111"
Bluestem,Kansas City,Missouri,13,39.100105,-94.5781416,39.05088,-94.596975,"900 Westport Rd, Kansas City, MO 64111"
Janos,Tucson,Arizona,11,32.2228765,-110.974847,32.313962,-110.916969,"3770 E Sunrise Dr, Tucson, AZ 85718"
Jardinière,San Francisco,California,11,37.7879363,-122.4075201,37.778182,-122.421772,"300 Grove St, San Francisco, CA 94102"
Restaurant Jean-Louis,Greenwich,Connecticut,11,41.0264862,-73.6284598,41.029216,-73.624909,"61 Lewis St, Greenwich, CT 06830"
